Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/07/12,18:21:21.666651,53.4528,-168.1404,0.06,0.68,VT,5,ok08_186
2008/07/12,18:22:53.084949,53.4792,-168.1555,9.69,0.65,LP,4,ok08_187
2008/07/12,18:23:02.250536,53.4537,-168.032,11.45,0.62,VT,4,ok08_188
2008/07/12,18:23:41.623008,53.4449,-168.112,3.55,0.21,VT,7,ok08_189
2008/07/12,18:24:33.155670,53.4343,-168.026,13.27,0.81,VT,6,ok08_190
2008/07/12,18:25:03.310733,53.4441,-168.1055,4.12,0.9,VT,9,ok08_191
2008/07/12,18:26:59.083802,53.4436,-168.1129,2.64,0.49,VT,5,ok08_192
2008/07/12,18:27:39.930126,53.4581,-168.0797,12.52,0.53,VT,6,ok08_193
2008/07/12,18:29:12.621766,53.4608,-168.1057,3.99,1.4,VT,9,ok08_194
2008/07/12,18:32:52.722239,53.4344,-168.1095,2.56,1.1,VT,9,ok08_195
2008/07/12,18:33:20.903954,53.4357,-168.0786,7.99,0.82,VT,6,ok08_196
2008/07/12,18:33:55.711354,53.4421,-168.0543,14.02,0.59,VT,6,ok08_197
2008/07/12,18:34:05.486240,53.4468,-168.1088,3.9,0.19,VT,6,ok08_198
2008/07/12,18:34:24.215809,53.4349,-168.0261,13.14,0.78,VT,7,ok08_199
2008/07/12,18:35:00.728746,53.4335,-168.1938,14.97,0.44,VT,7,ok08_200
2008/07/12,18:36:08.208380,53.4478,-168.1235,0.22,0.19,VT,6,ok08_201
2008/07/12,18:37:10.082986,53.4172,-168.043,15.35,1.38,VT,3,ok08_202
2008/07/12,18:37:50.824739,53.4357,-168.0802,8.11,0.3,VT,5,ok08_203
2008/07/12,18:39:34.836231,53.4318,-168.1321,10.25,0.6,VT,6,ok08_204
2008/07/12,18:39:53.928814,53.438,-168.0615,7.23,0.44,VT,5,ok08_205
2008/07/12,18:39:59.692339,53.4387,-168.0178,12.01,0.8,VT,7,ok08_206
2008/07/12,18:40:42.149101,53.4384,-168.2074,0.88,0.43,VT,5,ok08_207
2008/07/12,18:41:13.563755,53.4428,-168.1062,4.18,1.06,VT,9,ok08_208
2008/07/12,18:41:31.057397,53.436,-168.0659,7.42,1.24,VT,4,ok08_209
2008/07/12,18:41:45.278125,53.4427,-168.1203,7.26,0.54,VT,6,ok08_210
2008/07/12,18:42:11.785866,53.4428,-168.1075,4.5,1.25,VT,8,ok08_211
2008/07/12,18:42:37.458024,53.4384,-168.0035,11.45,0.92,VT,6,ok08_212
2008/07/12,18:42:48.518354,53.4465,-167.9933,4.4,0.96,VT,6,ok08_213
2008/07/12,18:42:59.305722,53.4419,-168.1131,5.72,0.88,VT,6,ok08_214
2008/07/12,18:43:45.098276,53.3989,-168.0912,3.71,0.52,VT,6,ok08_215
2008/07/12,18:43:52.384225,53.428,-168.1149,6.45,1.82,VT,10,ok08_216
2008/07/12,18:44:27.918760,53.4323,-168.1154,3.08,1.11,VT,9,ok08_217
2008/07/12,18:44:44.856024,53.439,-168.1191,10.22,1.41,VT,7,ok08_218
2008/07/12,18:46:10.272280,53.4338,-168.0991,5.41,0.63,VT,4,ok08_219
2008/07/12,18:46:28.810521,53.4474,-168.1067,7.92,0.57,VT,6,ok08_220
2008/07/12,18:46:47.566979,53.4431,-168.1094,7.33,0.73,VT,6,ok08_221
2008/07/12,18:46:58.040379,53.4407,-168.0756,12.52,0.61,VT,6,ok08_222
2008/07/12,18:47:06.436696,53.4366,-168.0928,8.71,1.58,VT,9,ok08_223
2008/07/12,18:47:24.490477,53.4438,-168.0403,9.87,1.54,VT,9,ok08_224
2008/07/12,18:47:54.703666,53.4521,-168.0863,0.06,0.63,VT,5,ok08_225
2008/07/12,18:48:10.152615,53.4253,-167.9704,2.26,,VT,3,ok08_226
2008/07/12,18:48:34.335383,53.4424,-168.1161,8.84,0.78,VT,6,ok08_227
2008/07/12,18:48:42.855832,53.4621,-168.1,5.13,1.22,VT,9,ok08_228
2008/07/12,18:48:55.693060,53.4418,-168.1537,12.77,1.13,VT,4,ok08_229
2008/07/12,18:49:08.060562,53.4282,-168.1127,4.84,1.28,VT,8,ok08_230
2008/07/12,18:49:20.622901,53.4531,-168.0278,11.7,1.41,VT,8,ok08_231
2008/07/12,18:49:48.059616,53.3671,-168.0686,10.13,0.96,VT,6,ok08_232
2008/07/12,18:50:26.257905,53.4473,-168.1294,15.66,0.63,VT,6,ok08_233
2008/07/12,18:51:58.789011,53.4681,-168.1679,9.75,0.58,VT,5,ok08_234
2008/07/12,18:52:24.376288,53.4552,-168.0895,0.06,1.05,VT,6,ok08_235
2008/07/12,18:53:07.376191,53.4642,-168.0938,4.87,1.45,VT,9,ok08_236
2008/07/12,18:53:29.518304,53.4385,-168.1087,8.02,1.19,VT,8,ok08_237
2008/07/12,18:54:04.372376,53.4494,-168.1015,12.42,0.96,VT,6,ok08_238
2008/07/12,18:54:21.163669,53.4367,-168.1115,9.09,0.9,VT,6,ok08_239
2008/07/12,18:54:29.583029,53.4432,-168.0854,4.06,1.24,VT,8,ok08_240
2008/07/12,18:55:04.094183,53.4479,-168.092,3.82,1.48,VT,9,ok08_241
2008/07/12,18:55:49.209251,53.4431,-168.1157,0.06,0.6,VT,5,ok08_242
2008/07/12,18:56:09.164045,53.433,-168.1209,10.94,1.02,VT,6,ok08_243
2008/07/12,18:56:28.177835,53.4528,-168.0989,11.67,0.97,VT,7,ok08_244
2008/07/12,18:57:03.321273,53.4329,-167.9919,13.96,2.08,VT,9,ok08_245
2008/07/12,18:57:52.727723,53.431,-167.9714,13.02,1.53,VT,8,ok08_246
2008/07/12,18:58:03.478710,53.5118,-168.2061,5.85,1.32,VT,7,ok08_247
2008/07/12,18:58:19.070135,53.4331,-168.1,3.43,1.17,VT,7,ok08_248
2008/07/12,18:59:23.809556,53.4198,-168.1531,14.15,1.01,VT,6,ok08_249
2008/07/12,18:59:38.909054,53.445,-168.0941,3.74,1.0,VT,6,ok08_250
2008/07/12,18:59:57.252688,53.4397,-168.1188,3.71,1.34,VT,8,ok08_251
2008/07/12,19:00:13.428843,53.4195,-168.1489,13.65,1.62,VT,7,ok08_252
2008/07/12,19:01:11.768705,53.4486,-168.1001,11.67,0.82,VT,6,ok08_253
2008/07/12,19:01:17.090032,53.4056,-168.002,14.15,1.16,VT,6,ok08_254
2008/07/12,19:02:23.824824,53.4438,-168.0942,3.65,1.18,VT,8,ok08_255
2008/07/12,19:03:01.796221,53.4324,-168.1321,5.47,0.81,VT,6,ok08_256
2008/07/12,19:04:17.601155,53.4399,-168.1294,4.32,2.39,VT,17,ok08_257
2008/07/12,19:04:57.672708,53.4483,-168.1032,0.3,1.56,VT,8,ok08_258
2008/07/12,19:05:16.616049,53.4409,-168.0921,2.86,1.53,VT,8,ok08_259
2008/07/12,19:05:21.919596,53.4466,-168.1172,5.75,1.79,VT,10,ok08_260
2008/07/12,19:06:20.422813,53.4168,-168.0719,3.71,0.97,VT,5,ok08_261
2008/07/12,19:06:38.646359,53.4279,-168.1354,6.67,1.0,VT,6,ok08_262
2008/07/12,19:07:02.927117,53.4311,-168.1229,2.5,1.73,VT,11,ok08_263
2008/07/12,19:07:26.406180,53.4325,-168.1229,4.89,2.08,VT,10,ok08_264
2008/07/12,19:08:10.714412,53.4518,-168.0795,1.07,1.35,VT,9,ok08_265
2008/07/12,19:08:21.626760,53.4431,-168.1045,4.65,1.66,VT,9,ok08_266
2008/07/12,19:08:44.802953,53.441,-168.1263,3.65,1.12,VT,4,ok08_267
2008/07/12,19:08:52.966473,53.4496,-168.1201,5.22,1.4,VT,8,ok08_268
2008/07/12,19:10:07.255355,53.4391,-168.1304,3.9,2.39,VT,18,ok08_269
